"","STATE","DATE","POPULATION","NEWCONFIRMED","CUMCONFIRMED","NEWDEATHS","CUMDEATHS","UID","CODE3","SQMI","EVENT_CATG_S","SCORE","SHORT_DESCRIPT","RESTRICTIONS","PHASED_REOPENING","COUNTYLEVEL","FACECOVER_RQD","STUSAB","LATITUDE","LONGITUDE","STATEFP","GNISID","NEWCD_NORM_500","NEWDEATHS_NORM500","REGION"
"1","ALABAMA",2020-01-22,4951876,0,0,0,0,5796241491,57960,NA,NA,"1.25",NA,NA,NA,NA,NA,"AL",32.806671,-86.79113,1,1779775,0,0,3
"2","ALABAMA",2020-01-23,4951876,0,0,0,0,5796241491,57960,NA,NA,"0",NA,NA,NA,NA,NA,"AL",32.806671,-86.79113,1,1779775,0,0,3
"3","ALABAMA",2020-01-24,4951876,0,0,0,0,5796241491,57960,NA,NA,"0",NA,NA,NA,NA,NA,"AL",32.806671,-86.79113,1,1779775,0,0,3
"4","ALABAMA",2020-01-25,4951876,0,0,0,0,5796241491,57960,NA,NA,"0",NA,NA,NA,NA,NA,"AL",32.806671,-86.79113,1,1779775,0,0,3
"5","ALABAMA",2020-01-26,4951876,0,0,0,0,5796241491,57960,NA,NA,"0",NA,NA,NA,NA,NA,"AL",32.806671,-86.79113,1,1779775,0,0,3
"6","ALABAMA",2020-01-27,4951876,0,0,0,0,5796241491,57960,NA,NA,"0",NA,NA,NA,NA,NA,"AL",32.806671,-86.79113,1,1779775,0,0,3
"7","ALABAMA",2020-01-28,4951876,0,0,0,0,5796241491,57960,NA,NA,"0",NA,NA,NA,NA,NA,"AL",32.806671,-86.79113,1,1779775,0,0,3
"8","ALABAMA",2020-01-29,4951876,0,0,0,0,5796241491,57960,NA,NA,"0",NA,NA,NA,NA,NA,"AL",32.806671,-86.79113,1,1779775,0,0,3
"9","ALABAMA",2020-01-30,4951876,0,0,0,0,5796241491,57960,NA,NA,"0",NA,NA,NA,NA,NA,"AL",32.806671,-86.79113,1,1779775,0,0,3
"10","ALABAMA",2020-01-31,4951876,0,0,0,0,5796241491,57960,NA,NA,"0",NA,NA,NA,NA,NA,"AL",32.806671,-86.79113,1,1779775,0,0,3
"11","ALABAMA",2020-02-01,4951876,0,0,0,0,5796241491,57960,NA,NA,"0",NA,NA,NA,NA,NA,"AL",32.806671,-86.79113,1,1779775,0,0,3
"12","ALABAMA",2020-02-02,4951876,0,0,0,0,5796241491,57960,NA,NA,"0",NA,NA,NA,NA,NA,"AL",32.806671,-86.79113,1,1779775,0,0,3
"13","ALABAMA",2020-02-03,4951876,0,0,0,0,5796241491,57960,NA,NA,"0",NA,NA,NA,NA,NA,"AL",32.806671,-86.79113,1,1779775,0,0,3
"14","ALABAMA",2020-02-04,4951876,0,0,0,0,5796241491,57960,NA,NA,"0",NA,NA,NA,NA,NA,"AL",32.806671,-86.79113,1,1779775,0,0,3
"15","ALABAMA",2020-02-05,4951876,0,0,0,0,5796241491,57960,NA,NA,"0",NA,NA,NA,NA,NA,"AL",32.806671,-86.79113,1,1779775,0,0,3
