County,Date of Tier Assessment,Ending Date of Week of Data: 02-28-21 to 03-06-21,Final Tier Assignment for 03-16-21,"Previous Tier Assignment, 03-08-21 Assessment",First Date in Current Tier,County Tier Assignment Based on Meeting Accelerated Health Equity Criteria,Number of Weeks in Current Tier,Number of Consecutive Weeks Meeting Criteria for Less Restrictive Tier,Number of Consecutive Weeks Meeting Criteria for More Restrictive Tier,"Tier for Week 02-28-21 to 03-06-21, 03-15-21 Assessment","Test Positivity excl prisons (7-day, 7-day lag)","Case Rate Used for Tier Adjusted Using Linear Adjustment (7-day avg, 7-day lag)","Unadjusted Case Rate per 100,000 excl prisons (7-day avg, 7-day lag)",Linear Adjustment Factor Applied to Case Rate,"Tests per 100,000 excl prisons, with replaced approved county data (7-day avg, 7-day lag)

State Median Testing Rate=320.50",Population^,County Exceeds Minimum Number of Weekly Cases Based on Population and Current Tier,"Health Equity Quartile Test Positivity Excl Prison Cases (7 day, 7 day lag)",HE Quartile (Test Positivity%) Within Threshold for Less Restrictive Tier (Non-Accelerated),Number of Consecutive Weeks of Health Equity Metric Towards Movement to Less Restrictive Tier (Non-Accelerated),Eligible for Accelerated Health Equity Criteria to Move to Less Restrictive Tier (If No Progression Via Non-Accelerated Criteria),Number of Consecutive Weeks Towards Movement to Less Restrictive Tier with Accelerated Healthy Equity Criteria
Alameda,03-15-2021,03-06-2021,2,2,03-08-2021,No,1,1,0,3,1.5,3.6,5.6,0.656,540.8,1685886,NA,2.4,Yes,1,No,0
Alpine,03-15-2021,03-06-2021,4,4,03-08-2021,NA,1,NA,1,1,5.3,25.6,25.6,  ,243.0,1117,No,    - ,NA,NA,NA,NA
Amador,03-15-2021,03-06-2021,2,2,03-08-2021,NA,1,0,0,2,2.1,5.6,5.6,  ,394.5,38531,No,    - ,NA,NA,NA,NA
Butte,03-15-2021,03-06-2021,2,2,03-08-2021,No,1,0,0,2,2.6,4.1,4.1,  ,238.7,217769,NA,2.1,Yes,1,No,0
Calaveras,03-15-2021,03-06-2021,2,2,03-08-2021,NA,1,0,0,2,4.3,8.1,8.1,  ,231.0,44289,No,    - ,NA,NA,NA,NA
Colusa,03-15-2021,03-06-2021,2,2,03-08-2021,NA,1,1,0,3,2.7,2.5,2.5,  ,210.6,22593,No,    - ,NA,NA,NA,NA
Contra Costa,03-15-2021,03-06-2021,2,2,03-08-2021,No,1,0,0,2,2.2,6.2,7.7,0.809,443.0,1160099,NA,3.9,Yes,1,No,0
Del Norte*,03-15-2021,03-06-2021,2,2,02-08-2021,NA,5,0,0,1,2.9,12.4,12.4,  ,612.2,27558,No,    - ,NA,NA,NA,NA
El Dorado,03-15-2021,03-06-2021,2,2,03-01-2021,No,2,0,0,2,2.7,5.0,5.0,  ,256.1,193098,NA,2.7,Yes,1,No,0
Fresno,03-15-2021,03-06-2021,1,1,11-16-2020,No,17,0,NA,1,5.1,11.9,11.9,1.001,320.0,1032227,NA,6.4,Yes,3,No,0
Glenn,03-15-2021,03-06-2021,1,1,11-16-2020,NA,17,0,NA,1,4.8,10.2,10.2,  ,232.7,29348,NA,    - ,NA,NA,NA,NA
Humboldt,03-15-2021,03-06-2021,2,2,02-22-2021,No,3,0,0,2,2.8,7.8,8.3,0.943,356.9,134098,NA,2.6,Yes,3,No,0
Imperial,03-15-2021,03-06-2021,2,2,03-08-2021,No,1,0,0,2,2.8,5.0,5.0,  ,271.6,191649,NA,5.0,Yes,1,No,0
Inyo,03-15-2021,03-06-2021,1,1,12-14-2020,NA,13,0,NA,1,7.1,17.8,17.8,  ,336.8,18453,NA,    - ,NA,NA,NA,NA
Kern,03-15-2021,03-06-2021,1,1,11-16-2020,No,17,1,0,2,3.7,7.8,7.6,1.036,291.3,927251,NA,4.9,Yes,2,No,0
Kings,03-15-2021,03-06-2021,1,1,11-16-2020,No,17,0,NA,1,4.3,11.0,13.3,0.823,434.1,156444,NA,6.9,Yes,4,No,0
Lake,03-15-2021,03-06-2021,2,1,03-15-2021,NA,0,0,0,2,3.0,5.1,5.1,  ,289.8,64871,NA,    - ,NA,NA,NA,NA
Lassen,03-15-2021,03-06-2021,2,2,03-01-2021,NA,2,2,0,3,0.3,1.0,1.0,  ,682.8,30065,No,    - ,NA,NA,NA,NA
Los Angeles,03-15-2021,03-06-2021,2,2,03-08-2021,No,1,0,0,2,2.0,4.1,5.5,0.748,482.2,10257557,NA,2.8,Yes,1,No,0
Madera,03-15-2021,03-06-2021,1,1,08-31-2020,No,29,0,NA,1,4.4,11.3,12.8,0.877,399.2,160089,NA,6.5,Yes,2,No,0
Marin,03-15-2021,03-06-2021,2,2,02-22-2021,Yes,3,0,0,3,1.7,3.5,6.4,0.553,607.2,260800,NA,3.4,Yes,3,No,0
Mariposa,03-15-2021,03-06-2021,3,3,03-08-2021,NA,1,1,0,4,0.5,0.8,0.8,  ,351.6,17795,No,    - ,NA,NA,NA,NA
Mendocino,03-15-2021,03-06-2021,2,2,03-08-2021,NA,1,0,0,2,2.3,4.5,4.5,  ,256.2,88439,No,    - ,NA,NA,NA,NA
Merced,03-15-2021,03-06-2021,1,1,11-16-2020,No,17,0,NA,1,6.4,13.9,13.9,1.004,317.1,287420,NA,7.2,Yes,5,No,0
Modoc,03-15-2021,03-06-2021,2,2,03-01-2021,NA,2,0,0,2,1.3,6.0,6.0,  ,233.7,9475,No,    - ,NA,NA,NA,NA
Mono,03-15-2021,03-06-2021,2,2,03-08-2021,NA,1,0,0,2,3.8,6.1,6.1,  ,188.3,13961,No,    - ,NA,NA,NA,NA
Monterey,03-15-2021,03-06-2021,2,1,03-15-2021,No,0,0,0,2,2.0,4.7,4.7,  ,302.9,448732,NA,3.4,Yes,0,No,0
Napa,03-15-2021,03-06-2021,2,2,03-01-2021,No,2,0,0,2,1.6,4.8,7.4,0.655,541.4,139652,NA,2.0,Yes,2,No,0
Nevada,03-15-2021,03-06-2021,1,1,11-16-2020,NA,17,1,0,2,4.4,9.3,9.3,  ,292.9,98710,NA,    - ,NA,NA,NA,NA
Orange,03-15-2021,03-06-2021,2,2,03-08-2021,No,1,0,0,2,2.2,4.0,4.0,  ,312.9,3228519,NA,3.5,Yes,1,No,0
Placer,03-15-2021,03-06-2021,2,2,03-08-2021,No,1,0,0,2,3.5,8.1,8.1,  ,275.5,400434,NA,3.9,Yes,1,No,0
Plumas,03-15-2021,03-06-2021,3,3,03-08-2021,NA,1,0,0,3,1.5,3.8,3.8,  ,398.6,18997,No,    - ,NA,NA,NA,NA
Riverside,03-15-2021,03-06-2021,2,1,03-15-2021,No,0,0,0,2,3.3,6.1,6.1,  ,287.8,2468145,NA,3.7,Yes,0,No,0
Sacramento,03-15-2021,03-06-2021,2,1,03-15-2021,No,0,0,0,2,3.2,8.0,8.1,0.985,330.1,1567975,NA,5.2,Yes,0,No,0
San Benito,03-15-2021,03-06-2021,2,2,03-08-2021,NA,1,0,0,2,2.8,5.1,5.1,  ,327.1,64022,No,    - ,NA,NA,NA,NA
San Bernardino,03-15-2021,03-06-2021,2,2,03-08-2021,No,1,0,0,2,2.7,5.2,5.2,  ,309.4,2217398,NA,3.0,Yes,1,No,0
San Diego,03-15-2021,03-06-2021,2,1,03-15-2021,No,0,0,0,2,2.8,6.8,6.8,0.999,321.0,3370418,NA,4.2,Yes,0,No,0
San Francisco,03-15-2021,03-06-2021,2,2,03-01-2021,No,2,2,0,3,0.8,2.0,4.0,0.500,680.2,892280,NA,1.5,Yes,2,No,0
San Joaquin,03-15-2021,03-06-2021,1,1,11-16-2020,No,17,0,NA,1,4.5,10.5,9.9,1.054,277.0,782545,NA,5.8,Yes,3,No,0
San Luis Obispo,03-15-2021,03-06-2021,2,2,03-01-2021,No,2,0,0,2,2.1,6.2,9.0,0.694,516.4,278862,NA,3.1,Yes,2,No,0
San Mateo,03-15-2021,03-06-2021,3,2,03-15-2021,No,0,0,0,3,1.1,2.8,5.6,0.500,785.7,778001,NA,1.9,Yes,0,No,0
Santa Barbara,03-15-2021,03-06-2021,2,1,03-15-2021,No,0,0,0,2,3.3,7.7,8.5,0.898,386.2,456373,NA,5.1,Yes,0,No,0
Santa Clara,03-15-2021,03-06-2021,2,2,03-01-2021,No,2,1,0,3,1.4,3.6,7.2,0.500,694.9,1967585,NA,3.3,Yes,2,No,0
Santa Cruz,03-15-2021,03-06-2021,2,2,03-08-2021,No,1,1,0,3,1.2,3.4,5.1,0.671,531.4,273999,NA,2.5,Yes,1,No,0
Shasta,03-15-2021,03-06-2021,2,2,02-22-2021,Yes,3,0,0,2,2.0,5.0,5.1,0.979,333.8,177925,NA,2.5,Yes,3,No,0
Sierra,03-15-2021,03-06-2021,3,3,11-16-2020,NA,17,0,0,3,2.1,0.0,0.0,  ,215.5,3115,No,    - ,NA,NA,NA,NA
Siskiyou,03-15-2021,03-06-2021,2,2,03-08-2021,NA,1,0,0,2,3.8,9.4,9.4,  ,232.7,43956,No,    - ,NA,NA,NA,NA
Solano,03-15-2021,03-06-2021,2,2,03-08-2021,No,1,0,0,2,2.5,6.5,7.0,0.934,362.6,444255,NA,3.1,Yes,1,No,0
Sonoma,03-15-2021,03-06-2021,2,2,03-08-2021,No,1,0,0,2,2.5,6.8,8.5,0.794,452.6,496668,NA,3.9,Yes,1,No,0
Stanislaus,03-15-2021,03-06-2021,1,1,11-16-2020,No,17,1,NA,1,4.9,11.8,11.7,1.004,317.1,562303,NA,4.7,Yes,3,Yes,1
Sutter,03-15-2021,03-06-2021,2,1,03-15-2021,NA,0,0,0,2,5.1,9.1,9.1,  ,234.7,105747,NA,    - ,NA,NA,NA,NA
Tehama,03-15-2021,03-06-2021,2,1,03-15-2021,NA,0,0,0,2,3.3,6.5,6.5,  ,247.8,65885,NA,    - ,NA,NA,NA,NA
Trinity,03-15-2021,03-06-2021,2,2,02-22-2021,NA,3,1,0,3,3.0,1.1,1.1,  ,141.2,13354,No,    - ,NA,NA,NA,NA
Tulare,03-15-2021,03-06-2021,2,1,03-15-2021,No,0,0,0,2,3.5,7.8,7.8,1.002,319.0,484423,NA,6.2,Yes,0,No,0
Tuolumne,03-15-2021,03-06-2021,2,2,03-08-2021,NA,1,0,0,2,1.3,4.1,4.1,  ,342.7,52351,No,    - ,NA,NA,NA,NA
Ventura,03-15-2021,03-06-2021,2,1,03-15-2021,No,0,0,0,2,2.8,6.5,9.3,0.704,510.5,852747,NA,5.0,Yes,0,No,0
Yolo,03-15-2021,03-06-2021,2,2,02-22-2021,No,3,1,0,3,0.7,3.3,6.6,0.500,1272.4,223612,NA,2.7,Yes,3,No,0
Yuba,03-15-2021,03-06-2021,1,1,11-16-2020,NA,17,0,NA,1,5.7,12.1,12.1,  ,223.8,79290,NA,    - ,NA,NA,NA,NA
