"","STATE","CLUSTER"
"1","ALABAMA",1
"2","ALASKA",2
"3","ARIZONA",1
"4","ARKANSAS",1
"5","CALIFORNIA",1
"6","COLORADO",2
"7","CONNECTICUT",3
"8","DELAWARE",3
"9","DISTRICT OF COLUMBIA",4
"10","FLORIDA",5
"11","GEORGIA",5
"12","HAWAII",4
"13","IDAHO",6
"14","ILLINOIS",2
"15","INDIANA",6
"16","IOWA",7
"17","KANSAS",6
"18","KENTUCKY",6
"19","LOUISIANA",5
"20","MAINE",4
"21","MARYLAND",4
"22","MASSACHUSETTS",3
"23","MICHIGAN",2
"24","MINNESOTA",7
"25","MISSISSIPPI",1
"26","MISSOURI",6
"27","MONTANA",7
"28","NEBRASKA",7
"29","NEVADA",6
"30","NEW HAMPSHIRE",3
"31","NEW JERSEY",3
"32","NEW MEXICO",6
"33","NEW YORK",3
"34","NORTH CAROLINA",5
"35","NORTH DAKOTA",7
"36","OHIO",6
"37","OKLAHOMA",6
"38","OREGON",4
"39","PENNSYLVANIA",3
"40","RHODE ISLAND",6
"41","SOUTH CAROLINA",5
"42","SOUTH DAKOTA",7
"43","TENNESSEE",1
"44","TEXAS",5
"45","UTAH",6
"46","VERMONT",4
"47","VIRGINIA",5
"48","WASHINGTON",4
"49","WEST VIRGINIA",3
"50","WISCONSIN",7
"51","WYOMING",7
